url,ultimo_rastreo,tipo,destino_301_propuesto
https://www.valentinmotors.es/magazine/restauracion-motor-964-turbo-dfc3x,2026-07-27,post,/magazine/restauracion-porsche-964-turbo-1991
https://www.valentinmotors.es/porsche-en-venta/porsche-981-cayman-gts,2026-07-20,coche vendido,revivir como VENDIDO
https://www.valentinmotors.es/porsche-en-venta/porsche912pepita1966,2026-06-15,coche vendido,revivir como VENDIDO
https://www.valentinmotors.es/porsche-en-venta/porsche996coupecarreratiptronic,2026-06-13,coche vendido,revivir como VENDIDO
https://www.valentinmotors.es/porsche-en-venta/porsche981gtscaymanamarillo,2026-06-11,coche vendido,revivir como VENDIDO
https://www.valentinmotors.es/porsche-en-venta/porschrrkompressorruf,2026-06-11,coche vendido,/porsche-en-venta/997-ruf-kompressor
https://www.valentinmotors.es/porsche-en-venta/porsche356cabriolet,2026-06-09,coche vendido,/porsche-en-venta/porsche-356-b-cabriolet-1960
https://www.valentinmotors.es/porsche-en-venta/porsche986boxstersspeedgelb,2026-05-29,coche vendido,revivir como VENDIDO
https://www.valentinmotors.es/porsche-en-venta/porsche930turbo1977r4granprixwhite,2026-04-14,coche vendido,revivir como VENDIDO
https://www.valentinmotors.es/porsche-en-venta/porsche993carrerausa,2026-04-12,coche vendido,revivir como VENDIDO
