path,vistas,usuarios_activos,tiempo_medio_seg,eventos
/,2921,1733,22,9388
/porsche-en-venta,2818,1366,48,7918
/porsche-en-venta/porsche-997-manual,794,474,36,1601
/porsche-en-venta/porsche-997-carrera-4s-triptronic,719,457,48,1416
/porsche-en-venta/997-ruf-kompressor,564,464,26,1147
/madrid,549,381,41,1507
/porsche-en-venta/porsche-911-22-t-targa,547,395,29,1078
/porsche-en-venta/porsche-porsche-991-carrera-s-cabrio,453,297,34,910
/porsche-en-venta/porsche-356-b-cabriolet-1960,381,324,24,756
/porsche-911-mantenimiento-taller,377,261,38,864
/magazine/que-es-el-ims-de-porsche,319,255,74,1058
/barcelona,306,239,42,709
/taller-porsche,223,170,41,606
/contacto,208,157,57,459
/magazine,188,126,33,456
/magazine/10-cosas-que-debes-saber-antes-de-comprar-un-porsche-911,119,106,103,294
/quienes-somos,109,78,41,295
/porsche-en-venta/porsche-981-cayman-gts,108,96,26,209
/restauraciones,106,73,33,278
/porsche-cayman-boxster-mantenimiento-taller,102,79,44,265
