url,clics,impresiones,ctr_pct
https://www.valentinmotors.es/,1311,15749,8.32
https://www.valentinmotors.es/magazine/que-es-el-ims-de-porsche,401,13548,2.96
https://www.valentinmotors.es/porsche-en-venta,401,6104,6.57
https://www.valentinmotors.es/madrid,291,9329,3.12
https://www.valentinmotors.es/magazine/10-pelculas-del-siglo-xxi-en-las-que-aparecen-coches-porsche,111,5681,1.95
https://www.valentinmotors.es/magazine/porsche-bore-scoring,111,2856,3.89
https://www.valentinmotors.es/taller-porsche,96,7556,1.27
https://www.valentinmotors.es/porsche-cayenne-macan-mantenimiento-taller-1,95,3111,3.05
https://www.valentinmotors.es/porsche-911-mantenimiento-taller,85,2247,3.78
https://www.valentinmotors.es/barcelona,46,4339,1.06
