url,tipo,estado_actual,ga4_vistas_56d,gsc_clics_3m,gsc_impresiones_3m,accion,destino,motivo,title_actual
/,home,200,2921,1311,15749,CONSERVAR,/,URL con posicionamiento: no se toca,Taller especialista Porsche Barcelona y Madrid - Valentín Motors
/porsche-en-venta,listado coches,200,2818,401,6104,CONSERVAR,/porsche-en-venta,URL con posicionamiento: no se toca,Porsche en venta segunda mano &mdash; Valentín Motors
/magazine/que-es-el-ims-de-porsche,post,200,319,401,13548,CONSERVAR,/magazine/que-es-el-ims-de-porsche,URL con posicionamiento: no se toca,¿Qué es el IMS de Porsche? &mdash; Valentín Motors
/madrid,centro,200,549,291,9329,CONSERVAR,/madrid,URL con posicionamiento: no se toca,Madrid: Taller Especialista Porsche desde 1979 &mdash; Valentín Motors
/magazine/porsche-bore-scoring,post,200,89,111,2856,CONSERVAR,/magazine/porsche-bore-scoring,URL con posicionamiento: no se toca,¿Qué es el Porsche Bore Scoring? &mdash; Valentín Motors
/magazine/10-pelculas-del-siglo-xxi-en-las-que-aparecen-coches-porsche,post,200,87,111,5681,CONSERVAR,/magazine/10-pelculas-del-siglo-xxi-en-las-que-aparecen-coches-porsche,URL con posicionamiento: no se toca,10 películas del siglo XXI en las que aparecen coches Porsche &mdash; Valentín Motors
/taller-porsche,servicio,200,223,96,7556,CONSERVAR,/taller-porsche,URL con posicionamiento: no se toca,Servicios y tarifas del taller Porsche &mdash; Valentín Motors
/porsche-cayenne-macan-mantenimiento-taller-1,tarifa,200,99,95,3111,CONSERVAR,/porsche-cayenne-macan-mantenimiento-taller-1,URL con posicionamiento: no se toca,Tarifas mantenimiento Porsche Cayenne y Macan &mdash; Valentín Motors
/porsche-911-mantenimiento-taller,tarifa,200,377,85,2247,CONSERVAR,/porsche-911-mantenimiento-taller,URL con posicionamiento: no se toca,Tarifas mantenimiento Porsche 911 &mdash; Valentín Motors
/barcelona,centro,200,306,46,4339,CONSERVAR,/barcelona,URL con posicionamiento: no se toca,Barcelona: Taller Especialista Porsche desde 1979 &mdash; Valentín Motors
/porsche-en-venta/porsche-997-manual,ficha coche,200,794,0,0,CONSERVAR,/porsche-en-venta/porsche-997-manual,URL con posicionamiento: no se toca,Porsche 997.1 Carrera 4S &mdash; Valentín Motors
/porsche-en-venta/porsche-997-carrera-4s-triptronic,ficha coche,200,719,0,0,CONSERVAR,/porsche-en-venta/porsche-997-carrera-4s-triptronic,URL con posicionamiento: no se toca,Porsche 997.1 Carrera 4S Triptonic &mdash; Valentín Motors
/porsche-en-venta/997-ruf-kompressor,ficha coche,200,564,0,0,CONSERVAR,/porsche-en-venta/997-ruf-kompressor,URL con posicionamiento: no se toca,997 RUF Kompressor R &mdash; Valentín Motors
/porsche-en-venta/porsche-911-22-t-targa,ficha coche,200,547,0,0,CONSERVAR,/porsche-en-venta/porsche-911-22-t-targa,URL con posicionamiento: no se toca,911 2.2 T Targa &mdash; Valentín Motors
/porsche-en-venta/porsche-porsche-991-carrera-s-cabrio,ficha coche,200,453,0,0,CONSERVAR,/porsche-en-venta/porsche-porsche-991-carrera-s-cabrio,URL con posicionamiento: no se toca,991 Carrera S Cabrio &mdash; Valentín Motors
/porsche-en-venta/porsche-356-b-cabriolet-1960,ficha coche,200,381,0,0,CONSERVAR,/porsche-en-venta/porsche-356-b-cabriolet-1960,URL con posicionamiento: no se toca,Porsche 356 B Cabriolet 1960 &mdash; Valentín Motors
/contacto,pagina,200,208,0,0,CONSERVAR,/contacto,URL con posicionamiento: no se toca,Contacto &mdash; Valentín Motors
/magazine,indice blog,200,188,0,0,CONSERVAR,/magazine,URL con posicionamiento: no se toca,Magazine &mdash; Valentín Motors
/magazine/10-cosas-que-debes-saber-antes-de-comprar-un-porsche-911,post,200,119,0,0,CONSERVAR,/magazine/10-cosas-que-debes-saber-antes-de-comprar-un-porsche-911,URL con posicionamiento: no se toca,Diez cosas que debes saber antes de comprar un Porsche 911 &mdash; Valentín Motors
/quienes-somos,pagina,200,109,0,0,CONSERVAR,/quienes-somos,URL con posicionamiento: no se toca,Quiénes somos &mdash; Valentín Motors
/porsche-en-venta/porsche-981-cayman-gts,ficha coche (vendido),404,108,0,0,REVIVIR,/porsche-en-venta/porsche-981-cayman-gts,coche vendido borrado: se republica con badge VENDIDO,
/restauraciones,servicio,200,106,0,0,CONSERVAR,/restauraciones,URL con posicionamiento: no se toca,Restauraciones Porsche &mdash; Valentín Motors
/porsche-cayman-boxster-mantenimiento-taller,tarifa,200,102,0,0,CONSERVAR,/porsche-cayman-boxster-mantenimiento-taller,URL con posicionamiento: no se toca,Tarifas mantenimiento Porsche Cayman y Boxster &mdash; Valentín Motors
/porsche-997-de-segunda-mano,landing SEO,200,88,0,0,CONSERVAR,/porsche-997-de-segunda-mano,URL con posicionamiento: no se toca,Porsche 997 de segunda mano y ocasión &mdash; Valentín Motors
/porsche-macan-mantenimiento-taller-1,tarifa,200,73,0,0,301,/porsche-cayenne-macan-mantenimiento-taller-1,fusion: dos paginas casi identicas,Tarifas mantenimiento Porsche Cayman y Boxster &mdash; Valentín Motors
/porsche-996-de-segunda-mano,landing SEO,200,56,0,0,CONSERVAR,/porsche-996-de-segunda-mano,URL con posicionamiento: no se toca,Porsche 996 de segunda mano y ocasión &mdash; Valentín Motors
/sala-motores,servicio,200,52,0,0,CONSERVAR,/sala-motores,URL con posicionamiento: no se toca,Sala de motores clásicos y competición &mdash; Valentín Motors
/magazine/porsche-911g,post,200,51,0,0,CONSERVAR,/magazine/porsche-911g,URL con posicionamiento: no se toca,Porsche 911 G &mdash; Valentín Motors
